,link,Адрес,Застройщик,Агентство,Частное лицо,Цена,Цена за квадрат,Общая площадь,Жилая площадь,Площадь кухни,Балкон или лоджия,Санузел,Высота потолков,Количество комнат,Этаж,Этажей в доме,Отделка,Пассажирский лифт,Грузовой лифт,Двор,Парковка,Окна,Название новостройки,Официальный застройщик,Тип участия,Срок сдачи,Тип дома,"Корпус, строение",Способ продажи,Вид сделки,Тип комнат
2267,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_375m_33et._2561378190,"с. Ямное, ул. Ягодная, д. 24","Специализированный Застройщик ""ВИТ-СТРОЙ""",,,3074180,81978,37.5,20.0,10.4,лоджия,совмещенный,2.7,1,3,3,предчистовая,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,,ЖК «Рождественский»,ООО «Специализированный Застройщик «ВИТ-СТРОЙ»,ДДУ по ФЗ 214,3 кв. 2023 года,кирпичный,Дом 24 (ул. Ягодная),договор долевого участия,возможна ипотека,
2268,https://www.avito.ru/voronezh/kvartiry/1-k._kvartira_375m_23et._2529674508,"с. Ямное, ул. Ягодная, д. 24","Специализированный Застройщик ""ВИТ-СТРОЙ""",,,3074180,81978,37.5,20.0,10.4,лоджия,совмещенный,2.7,1,2,3,предчистовая,нет,нет,"детская площадка, спортивная площадка",открытая во дворе,,ЖК «Рождественский»,ООО «Специализированный Застройщик «ВИТ-СТРОЙ»,ДДУ по ФЗ 214,3 кв. 2023 года,кирпичный,Дом 24 (ул. Ягодная),договор долевого участия,возможна ипотека,
2269,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_708m_46et._2819579965,"ул. Краснознамённая, д. 109/1",,Группа Строительных Компаний,,7436100,105030,70.8,33.1,16.6,лоджия,совмещенный,2.8,2,4,6,предчистовая,1,1,"закрытая территория, детская площадка, спортивная площадка",подземная,,Клубный дом на Краснознамённой «Дом Офицеров»,ООО  СЗ «ЛТДМ-Развитие»,ДДУ по ФЗ 214,4 кв. 2025 года,монолитный,,,,изолированные
2270,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_708m_36et._2786835646,"ул. Краснознамённая, д. 109/1",,Группа Строительных Компаний,,7577000,107020,70.8,33.1,16.6,,,,2,3,6,предчистовая,,,,,,Клубный дом на Краснознамённой «Дом Офицеров»,ООО  СЗ «ЛТДМ-Развитие»,ДДУ по ФЗ 214,4 кв. 2025 года,монолитный,,,,"изолированные, смежные"
2271,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_708m_36et._2787030707,"ул. Краснознамённая, д. 109/1",,Группа Строительных Компаний,,7981160,112728,70.8,34.8,20.7,,,,2,3,6,предчистовая,,,,,,Клубный дом на Краснознамённой «Дом Офицеров»,ООО  СЗ «ЛТДМ-Развитие»,ДДУ по ФЗ 214,4 кв. 2025 года,монолитный,,,,"изолированные, смежные"
2272,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_766m_618et._2890291483,"ул. Острогожская, д. 166/3",,novostroiky-vrn,,4979000,65000,76.6,40.6,10.4,лоджия,раздельный,2.7,3,6,18,чистовая,1,1,"закрытая территория, детская площадка, спортивная площадка","открытая во дворе, за шлагбаумом во дворе",во двор,ЖК «Дом Энергетика»,ООО СЗ «ЖБИ-ЖИЛСТРОЙ 136»,ДДУ по ФЗ 214,4 кв. 2023 года,кирпичный,Позиция 1,договор долевого участия,возможна ипотека,изолированные
2273,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_766m_1418et._2857873428,"ул. Острогожская, д. 166/3",,novostroiky-vrn,,5055600,66000,76.6,40.6,10.4,лоджия,раздельный,2.7,3,14,18,чистовая,1,1,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,"во двор, на улицу",ЖК «Дом Энергетика»,ООО СЗ «ЖБИ-ЖИЛСТРОЙ 136»,ДДУ по ФЗ 214,4 кв. 2023 года,кирпичный,Позиция 1,договор долевого участия,возможна ипотека,изолированные
2274,https://www.avito.ru/voronezh/kvartiry/3-k._kvartira_766m_818et._2921819345,"ул. Острогожская, д. 166/3",,novostroiky-vrn,,5055600,66000,76.6,,10.4,лоджия,раздельный,,3,8,18,чистовая,1,1,"закрытая территория, детская площадка, спортивная площадка",открытая во дворе,,ЖК «Дом Энергетика»,ООО СЗ «ЖБИ-ЖИЛСТРОЙ 136»,ДДУ по ФЗ 214,4 кв. 2023 года,монолитно-кирпичный,Позиция 1,договор долевого участия,возможна ипотека,изолированные
2275,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_537m_1419et._2757543834,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,4024500,74944,53.7,,,,,,2,14,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 1,,,
2276,https://www.avito.ru/voronezh/kvartiry/2-k._kvartira_537m_1819et._2756935238,"ул. Теплоэнергетиков, д. 15б","ГК ""РАЗВИТИЕ""",,,4024500,74944,53.7,,,,,,2,18,19,предчистовая,,,,,,ЖК «‎Молодежный»,ООО СЗ «‎Профвыбор развитие»,ДДУ по ФЗ 214,4 кв. 2026 года,монолитно-кирпичный,Секция 1,,,
